tasktype,ID,sumscore,nitems,group,gp,tt
sGJTG,122,38,40,classroom,3,2
sGJTG,123,38,40,immersion,2,2
sGJTG,124,38,40,native,1,2
sGJTG,125,30,40,immersion,2,2
sGJTG,126,37,40,immersion,2,2
sGJTG,127,40,40,native,1,2
sGJTG,128,28,40,classroom,3,2
sGJTG,129,35,40,classroom,3,2
sGJTG,130,36,40,classroom,3,2
sGJTG,131,39,40,native,1,2
sGJTG,132,35,40,native,1,2
sGJTG,133,39,40,native,1,2
sGJTG,134,35,39,immersion,2,2
sGJTG,135,34,40,immersion,2,2
sGJTU,1,39,40,immersion,2,3
sGJTU,2,29,37,native,1,3
sGJTU,3,33,40,immersion,2,3
sGJTU,4,15,39,classroom,3,3
sGJTU,5,29,38,classroom,3,3
sGJTU,6,35,40,native,1,3
sGJTU,7,38,40,native,1,3
sGJTU,8,32,39,classroom,3,3
sGJTU,9,36,40,native,1,3
sGJTU,10,13,39,classroom,3,3
sGJTU,11,28,40,classroom,3,3
sGJTU,12,37,40,immersion,2,3
sGJTU,13,38,40,native,1,3
sGJTU,14,33,40,immersion,2,3
sGJTU,15,25,40,classroom,3,3
sGJTU,16,24,38,immersion,2,3
sGJTU,17,36,40,native,1,3
sGJTU,18,33,40,immersion,2,3
sGJTU,19,34,39,native,1,3
sGJTU,20,39,40,native,1,3
sGJTU,21,37,39,native,1,3
sGJTU,22,26,40,immersion,2,3
sGJTU,23,38,40,immersion,2,3
sGJTU,24,34,39,classroom,3,3
sGJTU,25,33,40,native,1,3
sGJTU,26,35,40,immersion,2,3
sGJTU,27,34,39,immersion,2,3
sGJTU,28,35,40,immersion,2,3
sGJTU,29,37,40,native,1,3
sGJTU,30,31,40,classroom,3,3
sGJTU,31,30,40,immersion,2,3
sGJTU,32,26,40,classroom,3,3
sGJTU,33,38,40,native,1,3
sGJTU,34,29,40,classroom,3,3
sGJTU,35,39,40,native,1,3
sGJTU,36,37,39,native,1,3
sGJTU,37,27,39,immersion,2,3
sGJTU,38,37,40,native,1,3
sGJTU,39,34,40,classroom,3,3
sGJTU,40,33,40,classroom,3,3
sGJTU,41,30,40,classroom,3,3
sGJTU,42,26,40,classroom,3,3
sGJTU,43,40,40,native,1,3
sGJTU,44,38,40,native,1,3
sGJTU,45,33,38,native,1,3
sGJTU,46,35,40,immersion,2,3
sGJTU,47,38,39,native,1,3
sGJTU,48,36,40,immersion,2,3
sGJTU,49,34,40,classroom,3,3
sGJTU,50,26,40,immersion,2,3
sGJTU,51,26,40,immersion,2,3
sGJTU,52,36,40,native,1,3
sGJTU,53,32,39,classroom,3,3
sGJTU,54,40,40,native,1,3
sGJTU,55,32,40,immersion,2,3
sGJTU,56,39,40,native,1,3
sGJTU,57,24,38,classroom,3,3
sGJTU,58,28,36,immersion,2,3
sGJTU,59,34,39,immersion,2,3
sGJTU,60,37,39,classroom,3,3
